Fecha,Emisora,Precio Sucio,Precio Limpio,Intereses Devengados,Dias por Vencer,Tasa Descuento,Precio Sucio 24 Hrs,Precio Limpio 24 Hrs,Intereses Devengados 24 Hrs,Dias Por Vencer 24 Hrs,Tasa Descuento 24 Hrs,Plazo,Sobretasa,Duracion,Convexidad,Rendimiento,Instrumento,FechaInicioCupon,FechaFinCupon,Tasa Cupon Vigente,Tasa Cupon Vigente 24 Hrs,Moneda,Homologación Calificación,Clave,fechaInicio,fechaFinal,PagosCupon,Maduración,PAGOS,PAGOS EXACTOS
02/01/2019,GICSA,92.15075,91.46975,0.681,1429,0,92.180166,91.473944,0.706222,1428,0,2548,3.37,3.178846,12.697509,11.83,91_GICSA_15,06/12/2018,06/06/2019,0.0908,0.0908,MPS,AA,4,04/01/2019,06/01/2019,182,2,0.010989011,0
03/01/2019,GICSA,92.326705,91.620483,0.706222,1428,0,92.356055,91.624611,0.731444,1427,0,2548,3.37,3.177521,12.688429,11.78,91_GICSA_15,06/12/2018,06/06/2019,0.0908,0.0908,MPS,AA,4,04/01/2019,06/01/2019,182,2,0.010989011,0
04/01/2019,START,100.023647,99.999925,0.023722,7,0,100.09462,99.999731,0.094889,80,0,84,-0.05,0.227508,0.069533,8.54,93_START_00119,03/01/2019,31/01/2019,0.0854,0.0854,MPS,AAA,4,03/01/2019,28/03/2019,28,84,3,3
03/01/2019,BANORTE,99.999706,99.999706,0.00E+00,112,0,100.023584,99.99964,0.023944,111,0,112,0.03,0.305964,0.117798,8.6238,F_BANORTE_19001,03/01/2019,31/01/2019,0.0862,0.0862,MPS,AAA,4,03/01/2019,25/04/2019,28,112,4,4
03/01/2019,BANORTE,99.999706,99.999706,0.00E+00,168,0,100.023667,99.999639,0.024028,167,0,168,0.06,0.455869,0.245158,8.6538,F_BANORTE_19002,03/01/2019,31/01/2019,0.0865,0.0865,MPS,AAA,4,03/01/2019,20/06/2019,28,168,6,6
03/01/2019,BANORTE,99.993526,99.993526,0.00E+00,112,0,100.017568,99.993679,0.023889,111,0,112,0.09,0.305943,0.117783,8.6838,F_BANORTE_19003,03/01/2019,31/01/2019,0.086,0.086,MPS,AAA,4,03/01/2019,25/04/2019,28,112,4,4
04/01/2019,BANORTE,100.023867,99.999923,0.023944,111,0,100.095504,99.999726,0.095778,108,0,112,0.03,0.303206,0.115905,8.62,F_BANORTE_19001,03/01/2019,31/01/2019,0.0862,0.0862,MPS,AAA,4,03/01/2019,25/04/2019,28,112,4,4
04/01/2019,BANORTE,100.02395,99.999922,0.024028,167,0,100.095835,99.999724,0.096111,164,0,168,0.06,0.453113,0.24244,8.65,F_BANORTE_19002,03/01/2019,31/01/2019,0.0865,0.0865,MPS,AAA,4,03/01/2019,20/06/2019,28,168,6,6
04/01/2019,BANORTE,100.017851,99.993962,0.023889,111,0,100.08998,99.994424,0.095556,108,0,112,0.09,0.303185,0.11589,8.68,F_BANORTE_19003,03/01/2019,31/01/2019,0.086,0.086,MPS,AAA,4,03/01/2019,25/04/2019,28,112,4,4
04/01/2019,BANORTE,100,100,0.00E+00,196,0,100.072199,99.999782,0.072417,193,0,196,0.1,0.530019,0.325369,8.69,F_BANORTE_19004,04/01/2019,01/02/2019,0.0869,0.0869,MPS,AAA,4,04/01/2019,19/07/2019,28,196,7,7
04/01/2019,GICSA,92.708765,91.977321,0.731444,1427,0,92.796333,91.989222,0.807111,1424,0,2548,3.37,3.178009,12.691704,11.66,91_GICSA_15,06/12/2018,06/06/2019,0.0908,0.0908,MPS,AA,4,04/01/2019,06/01/2019,182,2,0,0
04/01/2019,AFIRALM,100.050515,100.007182,0.043333,26,0,100.114372,100.006039,0.108333,23,0,28,-0.698314,0.071823,0.010317,7.696675,93_AFIRALM_00119,02/01/2019,30/01/2019,0.078,0.078,MPS,AA,2,02/01/2019,30/01/2019,28,28,1,1
04/01/2019,AFIRALM,100.102268,100.052268,0.05,26,0,100.170875,100.045875,0.125,23,0,28,-0.127162,0.071794,0.010309,8.267827,93_AFIRALM_00219,02/01/2019,30/01/2019,0.09,0.09,MPS,AA,2,02/01/2019,30/01/2019,28,28,1,1
04/01/2019,AFIRALM,100.039449,100.015282,0.024167,27,0,100.109852,100.013185,0.096667,24,0,28,0.097786,0.074525,0.011108,8.492886,93_AFIRALM_00319,03/01/2019,31/01/2019,0.087,0.087,MPS,AA,2,03/01/2019,31/01/2019,28,28,1,1
04/01/2019,AFIRALM,100.075871,100.050677,0.025194,32,0,100.146222,100.045444,0.100778,29,0,33,0.097786,0.088223,0.015567,8.493442,93_AFIRALM_00419,03/01/2019,05/02/2019,0.0907,0.0907,MPS,AA,2,03/01/2019,05/02/2019,33,33,1,1
04/01/2019,AFIRALM,100.025303,100.002247,0.023056,27,0,100.093842,100.00162,0.092222,24,0,28,-0.127162,0.074538,0.011112,8.267938,93_AFIRALM_00519,03/01/2019,31/01/2019,0.083,0.083,MPS,AA,2,03/01/2019,31/01/2019,28,28,1,1
04/01/2019,AFIRALM,100.038676,100.014537,0.024139,27,0,100.109079,100.012523,0.096556,24,0,28,0.097786,0.074525,0.011108,8.492886,93_AFIRALM_00619,03/01/2019,31/01/2019,0.0869,0.0869,MPS,AA,2,03/01/2019,31/01/2019,28,28,1,1
04/01/2019,AFIRALM,100,100,0.00E+00,91,0,100.069392,99.998559,0.070833,88,0,91,0.097786,0.247461,0.122474,8.5,93_AFIRALM_00719,04/01/2019,05/04/2019,0.085,0.085,MPS,AA,2,04/01/2019,05/04/2019,91,91,1,1
04/01/2019,ARREACT,100.02544,99.999912,0.025528,111,0,100.1018,99.999689,0.102111,108,0,112,0.6,0.302872,0.115701,9.19,93_ARREACT_00119,03/01/2019,25/04/2019,0.0919,0.0919,MPS,AA,4,03/01/2019,25/04/2019,112,112,1,1
07/01/2019,GICSA,92.414891,91.60778,0.807111,1424,0,92.444294,91.611961,0.832333,1423,0,2548,3.37,3.166775,12.615136,11.79,91_GICSA_15,06/12/2018,06/06/2019,0.0908,0.0908,MPS,AA,4,04/01/2019,06/01/2019,182,2,0.010989011,0
08/01/2019,GICSA,92.385816,91.553483,0.832333,1423,0,92.415258,91.557702,0.857556,1422,0,2548,3.37,3.163637,12.59378,11.81,91_GICSA_15,06/12/2018,06/06/2019,0.0908,0.0908,MPS,AA,4,04/01/2019,06/01/2019,182,2,0.010989011,0
