"Fecha","Emisora","Precio.Sucio","Precio.Limpio","Intereses.Devengados","Dias.por.Vencer","Tasa.Descuento","Precio.Sucio.24.Hrs","Precio.Limpio.24.Hrs","Intereses.Devengados.24.Hrs","Dias.Por.Vencer.24.Hrs","Tasa.Descuento.24.Hrs","Plazo","Sobretasa","Duracion","Convexidad","Rendimiento","Instrumento","FechaInicioCupon","FechaFinCupon","Tasa.Cupon.Vigente","Tasa.Cupon.Vigente.24.Hrs","Moneda","Homologación.Calificación","Clave","fechaInicio","fechaFinal","PagosCupon","Maduración","PAGOS","PAGOS.EXACTOS","TresAños","CincoAños","DiezAños"
"02/01/2019","GICSA",92.15075,91.46975,0.681,1429,0,92.180166,91.473944,0.706222,1428,0,2548,3.37,3.178846,12.697509,0.1183,"91_GICSA_15","06/12/2018","06/06/2019",0.0908,0.0908,"MPS","AA",4,"04/01/2019","06/01/2019",182,2,0.010989011,0,0.08231301,0.08236835,0.0825067
"03/01/2019","GICSA",92.326705,91.620483,0.706222,1428,0,92.356055,91.624611,0.731444,1427,0,2548,3.37,3.177521,12.688429,0.1178,"91_GICSA_15","06/12/2018","06/06/2019",0.0908,0.0908,"MPS","AA",4,"04/01/2019","06/01/2019",182,2,0.010989011,0,0.08231301,0.08236835,0.0825067
"04/01/2019","GICSA",92.708765,91.977321,0.731444,1427,0,92.796333,91.989222,0.807111,1424,0,2548,3.37,3.178009,12.691704,0.1166,"91_GICSA_15","06/12/2018","06/06/2019",0.0908,0.0908,"MPS","AA",4,"04/01/2019","06/01/2019",182,2,0,0,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100.050515,100.007182,0.043333,26,0,100.114372,100.006039,0.108333,23,0,28,-0.698314,0.071823,0.010317,0.07696675,"93_AFIRALM_00119","02/01/2019","30/01/2019",0.078,0.078,"MPS","AA",2,"02/01/2019","30/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100.102268,100.052268,0.05,26,0,100.170875,100.045875,0.125,23,0,28,-0.127162,0.071794,0.010309,0.08267827,"93_AFIRALM_00219","02/01/2019","30/01/2019",0.09,0.09,"MPS","AA",2,"02/01/2019","30/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100.039449,100.015282,0.024167,27,0,100.109852,100.013185,0.096667,24,0,28,0.097786,0.074525,0.011108,0.08492886,"93_AFIRALM_00319","03/01/2019","31/01/2019",0.087,0.087,"MPS","AA",2,"03/01/2019","31/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100.075871,100.050677,0.025194,32,0,100.146222,100.045444,0.100778,29,0,33,0.097786,0.088223,0.015567,0.08493442,"93_AFIRALM_00419","03/01/2019","05/02/2019",0.0907,0.0907,"MPS","AA",2,"03/01/2019","05/02/2019",33,33,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100.025303,100.002247,0.023056,27,0,100.093842,100.00162,0.092222,24,0,28,-0.127162,0.074538,0.011112,0.08267938,"93_AFIRALM_00519","03/01/2019","31/01/2019",0.083,0.083,"MPS","AA",2,"03/01/2019","31/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100.038676,100.014537,0.024139,27,0,100.109079,100.012523,0.096556,24,0,28,0.097786,0.074525,0.011108,0.08492886,"93_AFIRALM_00619","03/01/2019","31/01/2019",0.0869,0.0869,"MPS","AA",2,"03/01/2019","31/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","AFIRALM",100,100,0,91,0,100.069392,99.998559,0.070833,88,0,91,0.097786,0.247461,0.122474,0.085,"93_AFIRALM_00719","04/01/2019","05/04/2019",0.085,0.085,"MPS","AA",2,"04/01/2019","05/04/2019",91,91,1,1,0.08231301,0.08236835,0.0825067
"04/01/2019","ARREACT",100.02544,99.999912,0.025528,111,0,100.1018,99.999689,0.102111,108,0,112,0.6,0.302872,0.115701,0.0919,"93_ARREACT_00119","03/01/2019","25/04/2019",0.0919,0.0919,"MPS","AA",4,"03/01/2019","25/04/2019",112,112,1,1,0.08231301,0.08236835,0.0825067
"07/01/2019","GICSA",92.414891,91.60778,0.807111,1424,0,92.444294,91.611961,0.832333,1423,0,2548,3.37,3.166775,12.615136,0.1179,"91_GICSA_15","06/12/2018","06/06/2019",0.0908,0.0908,"MPS","AA",4,"04/01/2019","06/01/2019",182,2,0.010989011,0,0.08231301,0.08236835,0.0825067
"08/01/2019","GICSA",92.385816,91.553483,0.832333,1423,0,92.415258,91.557702,0.857556,1422,0,2548,3.37,3.163637,12.59378,0.1181,"91_GICSA_15","06/12/2018","06/06/2019",0.0908,0.0908,"MPS","AA",4,"04/01/2019","06/01/2019",182,2,0.010989011,0,0.08231301,0.08236835,0.0825067
"07/01/2019","AFIRALM",100.112449,100.004116,0.108333,23,0,100.133836,100.003836,0.13,22,0,28,-0.698314,0.063575,0.008084,0.07726896,"93_AFIRALM_00119","02/01/2019","30/01/2019",0.078,0.078,"MPS","AA",2,"02/01/2019","30/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
"07/01/2019","AFIRALM",100.200697,100.075697,0.125,23,0,100.222303,100.072303,0.15,22,0,28,-0.625682,0.063572,0.008083,0.07799528,"93_AFIRALM_00219","02/01/2019","30/01/2019",0.09,0.09,"MPS","AA",2,"02/01/2019","30/01/2019",28,28,1,1,0.08231301,0.08236835,0.0825067
